,Unnamed: 0,Festival,Ano,Dia,Artista,Palco,Tipo de Palco,Género,Nacionalidade,Comentários
938,2993,Super Bock Super Rock,2014,19/07,The Kills,Palco Super Bock,Principal,B – F,,
128,2995,Alive,2017,07/07,The Kills,Palco NOS,Principal,B – F,,
437,2996,Paredes de Coura,2013,15/08,The Knife,Palco Vodafone,Principal,B – F,,
10,2998,Alive,2009,10/07,The Kooks,Palco Optimus,Principal,B – M,,
61,2999,Alive,2012,15/07,The Kooks,Palco Optimus,Principal,B – M,,
887,2997,Super Bock Super Rock,2011,14/07,The Kooks,Palco Super bock,Principal,B – M,,
85,3002,Alive,2014,11/07,The Last Internationale,Palco NOS,Principal,B – MF,,
150,3003,Alive,2018,14/07,The Last Internationale,Palco NOS,Principal,B – MF,,
487,3001,Paredes de Coura,2016,20/08,The Last Internationale,Palco Vodafone,Principal,B – MF,,
518,3007,Paredes de Coura,2018,16/08,The Legendary Tigerman,Palco Vodafone,Principal,B – MF,,
933,3009,Super Bock Super Rock,2014,18/07,The Legendary Tigerman,Palco Super Bock,Principal,B – MF,,
458,3006,Paredes de Coura,2015,20/08,The Legendary Tigerman,Palco Vodafone,Principal,B – MF,,
90,3013,Alive,2014,12/07,The Libertines,Palco NOS,Principal,B – M,,
81,3015,Alive,2014,10/07,The Lumineers,Palco NOS,Principal,B – M,,
954,3027,Super Bock Super Rock,2016,14/07,The National,Palco Super Bock,Principal,B – M,,
883,3026,Super Bock Super Rock,2010,18/07,The National,Palco Super bock,Principal,B – M,,
701,3024,Sudoeste,2011,07/08,The National,Palco TMN,Principal,B – M,,
318,3023,NOS Primavera Sounds,2014,7/6,The National,Palco NOS,Principal,B – M,,
143,3028,Alive,2018,13/07,The National,Palco NOS,Principal,B – M,,
534,3025,Paredes de Coura,2019,14/08,The National,Palco Vodafone,Principal,B – M,,
964,3030,Super Bock Super Rock,2017,13/07,The New Power Generation ft. Bilal,Palco Super Bock,Principal,B – M,,
598,3031,Rock In Rio,2012,26/5,The Offspring,Palco Mundo,Principal,B – M,,
213,3040,Marés Vivas,2014,17/07,The Prodigy,,Principal,B – M,,
100,3042,Alive,2015,10/07,The Prodigy,Palco NOS,Principal,B – M,,
400,3039,Paredes de Coura,2010,31/07,The Prodigy,Palco Paredes de Coura,Principal,B – M,,
11,3041,Alive,2009,10/07,The Prodigy,Palco Optimus,Principal,B – M,,
908,3045,Super Bock Super Rock,2012,06/07,The Rapture,Palco Super Bock,Principal,B – M,,
286,3044,NOS Primavera Sounds,2012,7/6,The Rapture,Palco Optimus,Principal,B – M,,
327,3046,NOS Primavera Sounds,2015,5/6,The Replacements,Palco NOS,Principal,B – M,,
294,3047,NOS Primavera Sounds,2012,9/6,The Right Ons,Palco Optimus,Principal,B – M,,
613,3048,Rock In Rio,2014,29/05,The Rolling Stones,Palco Mundo,Principal,B – M,,
720,3049,Sudoeste,2012,04/08,The Roots,Palco TMN,Principal,B – M,,
696,3050,Sudoeste,2011,06/08,The Script,Palco TMN,Principal,B – M,,
234,3051,Marés Vivas,2015,18/07,The Script,Palco Meo,Principal,B – M,,
913,3053,Super Bock Super Rock,2012,07/07,The Shins,Palco Super Bock,Principal,B – M,,
165,3055,Alive,2019,13/07,The Smashing Pumpkins,Palco NOS,Principal,B – M,,
201,3054,Marés Vivas,2013,18/07,The Smashing Pumpkins,,Principal,B – M,,
401,3057,Paredes de Coura,2010,31/07,The Specials,Palco Paredes de Coura,Principal,B – M,,
52,3059,Alive,2012,13/07,The Stone Roses,Palco Optimus,Principal,B – F,,
394,3061,Paredes de Coura,2010,30/07,The Tallest Man on Earth,Palco Paredes de Coura,Principal,B – F,,
488,3062,Paredes de Coura,2016,20/08,The Tallest Man on Earth,Palco Vodafone,Principal,B – F,,
423,3063,Paredes de Coura,2012,15/08,The Temper Trap,Palco EDP,Principal,B – F,,
955,3065,Super Bock Super Rock,2016,14/07,The Temper Trap,Palco Super Bock,Principal,B – F,,
721,3068,Sudoeste,2012,04/08,The Ting Tings,Palco TMN,Principal,B – F,,
29,3074,Alive,2011,06/07,The Twilight Singers,Palco Optimus,Principal,B – M,,
944,3081,Super Bock Super Rock,2015,16/07,The Vaccines,Palco Super Bock,Principal,B – M,,
727,3077,Sudoeste,2012,05/08,The Vaccines,Palco TMN,Principal,B – M,,
438,3078,Paredes de Coura,2013,15/08,The Vaccines,Palco Vodafone,Principal,B – M,,
483,3079,Paredes de Coura,2016,19/08,The Vaccines,Palco Vodafone,Principal,B – M,,
86,3086,Alive,2014,11/07,The Vicious Five,Palco NOS,Principal,B – M,PT,
888,3089,Super Bock Super Rock,2011,14/07,The Walkmen,Palco Super bock,Principal,B – M,,
462,3092,Paredes de Coura,2015,21/08,The War on Drugs,Palco Vodafone,Principal,B – M,,
494,3095,Paredes de Coura,2017,16/08,The Wedding Present,Palco Vodafone,Principal,B – M,,
122,3097,Alive,2017,06/07,The Weeknd,Palco NOS,Principal,M,,
428,3098,Paredes de Coura,2012,16/08,The Whitest Boy Alive,Palco EDP,Principal,M,,
95,3099,Alive,2015,09/07,The Wombats,Palco NOS,Principal,B – M,,
123,3103,Alive,2017,06/07,The XX,Palco NOS,Principal,B – MF,,
295,3100,NOS Primavera Sounds,2012,9/6,The XX,Palco Optimus,Principal,B – MF,,
972,3101,Super Bock Super Rock,2018,19/07,The XX,Palco Super Bock,Principal,B – MF,,
477,3106,Paredes de Coura,2016,18/08,Thee Oh Sees,Palco Vodafone,Principal,B – MF,,
683,3113,Sudoeste,2011,03/08,Thomas Gold,Palco TMN,Principal,B – MF,,
741,3127,Sudoeste,2013,09/08,Tiago Bettencourt,Palco MEO,Principal,B – MF,,
877,3130,Super Bock Super Rock,2010,17/07,Tiago Bettencourt,Palco Super bock,Principal,B – MF,,
129,3129,Alive,2017,07/07,Tiago Bettencourt,Palco NOS,Principal,M,PT,
283,3134,Marés Vivas,2019,21/07,Tiago Nacarato,Palco MEO,Principal,M,PT,
561,3145,Paredes de Coura,2019,17/08,Time For T,Palco Vodafone FM,Principal,M,,
867,3148,Sudoeste,2019,10/08,Timmy Trumpet,Palco Meo,Principal,M,,
199,3150,Marés Vivas,2011,16/07,Tindersticks,Palco tmn,Principal,B – M,,
251,3158,Marés Vivas,2017,14/07,Tom Chaplin,Palco Meo,Principal,M,,
247,3163,Marés Vivas,2016,16/07,Tom Odell,Palco Meo,Principal,M,,
758,3162,Sudoeste,2014,07/08,Tom Odell,Palco Meo,Principal,M,,
166,3164,Alive,2019,13/07,Tom Walker,Palco NOS,Principal,M,,
921,3165,Super Bock Super Rock,2013,19/07,Tomahawk,Palco Super Bock,Principal,M,,
314,3171,NOS Primavera Sounds,2014,6/6,Tortoise,Palco NOS,Principal,B – M,,
412,3181,Paredes de Coura,2011,19/08,Trail of Dead,Palco Ritek,Principal,B – M,,
976,3182,Super Bock Super Rock,2018,20/07,Travis Scott,Palco Super Bock,Principal,B – M,,
566,3195,Rock In Rio,2010,22/5,Trovante,Palco Mundo,Principal,B – M,PT,
405,3204,Paredes de Coura,2011,18/08,Twin Shadow,Palco Ritek,Principal,B – M,,
728,3206,Sudoeste,2012,05/08,Two Door Cinema Club,Palco TMN,Principal,B – M,,
826,3207,Sudoeste,2017,03/08,Two Door Cinema Club,Palco Meo,Principal,B – M,,
417,3208,Paredes de Coura,2011,20/08,Two Door Cinema Club,Palco Ritek,Principal,B – M,,
66,3209,Alive,2013,12/07,Two Door Cinema Club,Palco Optimus,Principal,B – M,,
144,3211,Alive,2018,13/07,Two Door Cinema Club,Palco NOS,Principal,B – M,,
509,3216,Paredes de Coura,2017,19/08,Ty Segall,Palco Vodafone,Principal,B – M,,
343,3219,NOS Primavera Sounds,2016,9/6,U.S. Girls,Palco NOS,Principal,F,,
692,3224,Sudoeste,2011,05/08,Underworld,Palco TMN,Principal,F,,
331,3223,NOS Primavera Sounds,2015,6/6,Underworld,Palco NOS,Principal,B – M,,
472,3228,Paredes de Coura,2016,17/08,Unknown Mortal Orchestra,Palco Vodafone,Principal,B – M,,
697,3240,Sudoeste,2011,06/08,Valete,Palco TMN,Principal,B – M,,
161,3242,Alive,2019,12/07,Vampire Weekend,Palco NOS,Principal,B – M,,
873,5,Super Bock Super Rock,2010,17/07,Vampire Weekend,Palco Super bock,Principal,B – M,,
167,3254,Alive,2019,13/07,Vetusta Morla,Palco NOS,Principal,B – M,,
119,3253,Alive,2016,09/07,Vetusta Morla,Palco NOS,Principal,B – M,,
363,3260,NOS Primavera Sounds,2018,8/6,Vince Staples,Palco NOS,Principal,M,,
861,3261,Sudoeste,2019,09/08,Vini Vici,Palco Meo,Principal,M,,
930,3263,Super Bock Super Rock,2014,17/07,Vintage Trouble,Palco Super Bock,Principal,M,,
210,3267,Marés Vivas,2013,20/07,Virgem Sutra,,Principal,B – M,PT,
804,3268,Sudoeste,2016,04/08,Virgul,Palco Meo,Principal,B – M,,
862,3272,Sudoeste,2019,09/08,Vitor Kley,Palco Meo,Principal,B – M,,
389,3273,Paredes de Coura,2010,29/07,Vivian Girls,Palco Paredes de Coura,Principal,B – M,,
785,3279,Sudoeste,2015,07/08,W&W,Palco Meo,Principal,B – M,,
315,3282,NOS Primavera Sounds,2014,6/6,Warpaint,Palco NOS,Principal,B – F,,
406,3283,Paredes de Coura,2011,18/08,Warpaint,Palco Ritek,Principal,B – F,,
359,3288,NOS Primavera Sounds,2018,7/6,Waxahatchee,Palco NOS,Principal,F,,
290,3295,NOS Primavera Sounds,2012,8/6,We Trust,Palco Optimus,Principal,M,PT,
473,3302,Paredes de Coura,2016,17/08,We Trust,Palco Vodafone,Principal,M,,
222,3299,Marés Vivas,2014,19/07,We Trust,,Principal,M,PT,
57,3300,Alive,2012,14/07,We Trust,Palco Optimus,Principal,M,PT,
202,3298,Marés Vivas,2013,18/07,We Trust,,Principal,M,PT,
155,3303,Alive,2019,11/07,Weezer,Palco NOS,Principal,B – M,,
863,3304,Sudoeste,2019,09/08,Wet Bad Gang,Palco Meo,Principal,B – M,,
395,3315,Paredes de Coura,2010,30/07,White Lies,Palco Paredes de Coura,Principal,B – M,,
42,3316,Alive,2011,09/07,White Lies,Palco Optimus,Principal,B – M,,
478,3318,Paredes de Coura,2016,18/08,Whitney,Palco Vodafone,Principal,B – M,,
973,3319,Super Bock Super Rock,2018,19/07,Who The F*ck is Zé Pedro?,Palco Super Bock,Principal,B – M,,
291,3321,NOS Primavera Sounds,2012,8/6,Wilco,Palco Optimus,Principal,B – M,,
805,3336,Sudoeste,2016,04/08,Wiz Khalifa,Palco Meo,Principal,B – M,,
843,3337,Sudoeste,2018,09/08,Wizkid,Palco Meo,Principal,B – M,,
934,3342,Super Bock Super Rock,2014,18/07,Woodkid,Palco Super Bock,Principal,B – M,,
468,3343,Paredes de Coura,2015,22/08,Woods,Palco Vodafone,Principal,B – M,,
898,3349,Super Bock Super Rock,2011,16/07,X-Wife,Palco Super bock,Principal,B – M,PT,
463,3347,Paredes de Coura,2015,21/08,X-Wife,Palco Vodafone,Principal,B – M,,
519,3348,Paredes de Coura,2018,16/08,X-Wife,Palco Vodafone,Principal,B – M,,
602,3361,Rock In Rio,2012,3/06,Xutos & Pontapés,Palco Mundo,Principal,B – M,,
625,3363,Rock In Rio,2016,19/05,Xutos & Pontapés,Palco Mundo,Principal,B – M,PT,
214,3367,Marés Vivas,2014,17/07,Xutos & Pontapés,,Principal,B – M,PT,
570,3360,Rock In Rio,2010,27/5,Xutos & Pontapés,Palco Mundo,Principal,B – M,PT,
192,3366,Marés Vivas,2011,14/07,Xutos & Pontapés,Palco tmn,Principal,B – M,PT,
722,3365,Sudoeste,2012,04/08,Xutos & Pontapés,Palco TMN,Principal,B – M,,
650,3364,Rock In Rio,2018,29/06,Xutos & Pontapés,Palco Mundo,Principal,B – M,PT,
34,3368,Alive,2011,07/07,Xutos & Pontapés,Palco Optimus,Principal,B – M,PT,
614,3362,Rock In Rio,2014,29/05,Xutos & Pontapés,Palco Mundo,Principal,B – M,,
499,3381,Paredes de Coura,2017,17/08,YCWCB,Palco Vodafone,Principal,B – M,,
287,3376,NOS Primavera Sounds,2012,7/6,Yann Tiersen,Palco Optimus,Principal,M,,
114,3383,Alive,2016,08/07,Years & Years,Palco NOS,Principal,B – M,,
855,3382,Sudoeste,2019,07/08,Years & Years,Palco Meo,Principal,B – M,,
801,3385,Sudoeste,2016,03/08,Yellow Claw,Palco Meo,Principal,B – M,,
319,3391,NOS Primavera Sounds,2014,7/6,"You Can't Win, Charlie Brown",Palco NOS,Principal,B – M,PT,
124,3392,Alive,2017,06/07,"You Can't Win, Charlie Brown",Palco NOS,Principal,B – M,PT,
504,3396,Paredes de Coura,2017,18/08,Young Fathers,Palco Vodafone,Principal,B – M,,
768,3404,Sudoeste,2014,09/08,Yuri da Cunha,Palco Meo,Principal,B – M,,
750,3428,Sudoeste,2013,11/08,Zona 5,Palco MEO,Principal,B – M,,
658,3408,Sudoeste,2010,04/08,Zé Miguel Nora,Palco tmn,Principal,B – M,,
659,3409,Sudoeste,2010,04/08,Zé Pedro,Palco tmn,Principal,B – M,,
939,3413,Super Bock Super Rock,2014,19/07,Zé Pedro e Amigos / Tributo a Lou Reed,Palco Super Bock,Principal,B – M,,
418,714,Paredes de Coura,2012,15/08,dEUS,Palco EDP,Principal,B – M,,
946,715,Super Bock Super Rock,2015,17/07,dEUS,Palco Super Bock,Principal,B – M,,
187,716,Marés Vivas,2010,17/07,dEUS,Palco tmn,Principal,B – M,,
761,1806,Sudoeste,2014,08/08,mai-30,Palco Meo,Principal,B – M,,
