,Unnamed: 0,Festival,Ano,Dia,Artista,Palco,Tipo de Palco,Género,Nacionalidade,Comentários
957,1279,Super Bock Super Rock,2016,15/07,Iggy Pop,Palco Super Bock,Principal,B – M,,
31,1278,Alive,2011,07/07,Iggy and The Stooges,Palco Optimus,Principal,B – M,,
131,1281,Alive,2017,08/07,Imagine Dragons,Palco NOS,Principal,B – M,,
79,1280,Alive,2014,10/07,Imagine Dragons,Palco NOS,Principal,B – M,,
902,1283,Super Bock Super Rock,2012,05/07,Incubus,Palco Super Bock,Principal,B – M,,
80,1291,Alive,2014,10/07,Interpol,Palco NOS,Principal,B – M,,
699,1290,Sudoeste,2011,07/08,Interpol,Palco TMN,Principal,B – M,,
322,1288,NOS Primavera Sounds,2015,4/6,Interpol,Palco NOS,Principal,B – M,,
381,1300,Paredes de Coura,2010,28/07,Isidro LX,Palco Paredes de Coura,Principal,B – M,,
579,1303,Rock In Rio,2010,6/6,Ivete Sangalo,Palco Mundo,Principal,B – M,,
637,1307,Rock In Rio,2016,29/05,Ivete Sangalo,Palco Mundo,Principal,B – M,,* substitui Ariana Grande
584,1304,Rock In Rio,2012,01/06,Ivete Sangalo,Palco Mundo,Principal,B – M,,
633,1306,Rock In Rio,2016,28/05,Ivete Sangalo,Palco Mundo,Principal,B – M,,
608,1305,Rock In Rio,2014,25/05,Ivete Sangalo,Palco Mundo,Principal,B – M,,
652,1308,Rock In Rio,2018,30/06,Ivete Sangalo,Palco Mundo,Principal,B – M,,
158,1311,Alive,2019,12/07,Izal,Palco NOS,Principal,B – M,,
374,1313,NOS Primavera Sounds,2019,7/6,J Balvin,Palco NOS,Principal,M,,
837,1314,Sudoeste,2018,08/08,J Balvin,Palco Meo,Principal,M,,
23,1401,Alive,2010,09/07,JET,Palco Optimus,Principal,B – M,,
147,1317,Alive,2018,14/07,Jack White,Palco NOS,Principal,M,,
436,1322,Paredes de Coura,2013,15/08,Jagwar NA,Palco Vodafone,Principal,M,,
72,1329,Alive,2013,14/07,Jake Bugg,Palco Optimus,Principal,M,,
600,1333,Rock In Rio,2012,3/06,James,Palco Mundo,Principal,M,,
216,1335,Marés Vivas,2014,18/07,James,,Principal,B – M,,
647,1334,Rock In Rio,2018,29/06,James,Palco Mundo,Principal,B – M,,
245,1336,Marés Vivas,2016,16/07,James,Palco Meo,Principal,B – M,,
217,1337,Marés Vivas,2014,18/07,James Arthur,,Principal,M,,
93,1339,Alive,2015,09/07,James Bay,Palco NOS,Principal,M,,
240,1338,Marés Vivas,2016,15/07,James Bay,Palco Meo,Principal,M,,
375,1341,NOS Primavera Sounds,2019,7/6,James Blake,Palco NOS,Principal,M,,
300,1340,NOS Primavera Sounds,2013,30/5,James Blake,Palco Optimus,Principal,M,,
714,1347,Sudoeste,2012,03/08,James Morrison,Palco TMN,Principal,M,,
204,1349,Marés Vivas,2013,19/07,James Morrison,,Principal,M,,
667,1346,Sudoeste,2010,06/08,James Morrison,Palco tmn,Principal,M,,
811,1348,Sudoeste,2016,06/08,James Morrison,Palco Meo,Principal,M,,
232,1354,Marés Vivas,2015,18/07,Jamie Cullum,Palco Meo,Principal,M,,
765,1353,Sudoeste,2014,09/08,Jamie Cullum,Palco Meo,Principal,M,,
869,1356,Super Bock Super Rock,2010,16/07,Jamie Lidell,Palco Super bock,Principal,M,,
396,1359,Paredes de Coura,2010,31/07,Jamie T,Palco Paredes de Coura,Principal,M,,
356,1361,NOS Primavera Sounds,2018,7/6,Jamie XX,Palco NOS,Principal,M,,
261,1367,Marés Vivas,2018,20/07,Jamiroquai,Palco Meo,Principal,B – M,,
668,1365,Sudoeste,2010,06/08,Jamiroquai,Palco tmn,Principal,B – M,,
834,1366,Sudoeste,2017,05/08,Jamiroquai,Palco Meo,Principal,B – M,,
38,1369,Alive,2011,09/07,Jane's Addiction,Palco Optimus,Principal,B – M,,
685,1372,Sudoeste,2011,04/08,Janelle Monáe,Palco TMN,Principal,B – M,,
739,1373,Sudoeste,2013,09/08,Janelle Monáe,Palco MEO,Principal,B – M,,
990,1374,Super Bock Super Rock,2019,20/07,Janelle Monáe,Palco Super Bock,Principal,B – M,,
503,1378,Paredes de Coura,2017,18/08,Japandroids,Palco Vodafone,Principal,B – M,,
842,1384,Sudoeste,2018,09/08,Jason Derulo,Palco Meo,Principal,B – M,,
176,1385,Marés Vivas,2009,18/07,Jason Mraz,,Principal,M,,
751,1387,Sudoeste,2014,06/08,Jay Hardway,Palco Meo,Principal,M,,
653,1396,Rock In Rio,2018,30/06,Jessie J,Palco Mundo,Principal,M,,
603,1395,Rock In Rio,2014,01/06,Jessie J,Palco Mundo,Principal,M,,
725,1397,Sudoeste,2012,05/08,Jessie J,Palco TMN,Principal,M,,
32,1407,Alive,2011,07/07,Jimmy Eat World,Palco Optimus,Principal,B – M,,
784,1408,Sudoeste,2015,07/08,Jimmy P.,Palco Meo,Principal,B – M,,
857,1412,Sudoeste,2019,08/08,Jimmy P.,Palco Meo,Principal,B – M,,
241,1411,Marés Vivas,2016,15/07,Jimmy P.,Palco Meo,Principal,M,PT,
815,1409,Sudoeste,2016,07/08,Jimmy P.,Palco Meo,Principal,M,,
256,1456,Marés Vivas,2017,16/07,Joe Sumner,Palco Meo,Principal,M,,
580,1467,Rock In Rio,2010,6/6,John Mayer,Palco Mundo,Principal,M,,
756,1468,Sudoeste,2014,07/08,John Newman,Palco Meo,Principal,M,,
917,1476,Super Bock Super Rock,2013,18/07,Johnny Marr,Palco Super Bock,Principal,M,,
